Company Name,Ticker,Industry
American Campus Communities Inc,ACC,REIT and Equity Trust - Residential
"Armada Hoffler Properties, Inc.",AHH,REIT and Equity Trust - Residential
Acre Realty Investors Inc,AIII,REIT and Equity Trust - Residential
Apartment Investment and Management Company,AIV,REIT and Equity Trust - Residential
American Homes 4 Rent,AMH,REIT and Equity Trust - Residential
"Preferred Apartment Communities, Inc.",APTS,REIT and Equity Trust - Residential
"AvalonBay Communities, Inc.",AVB,REIT and Equity Trust - Residential
Boardwalk Real Estate Investment Trust,BOWFF,REIT and Equity Trust - Residential
"Bluerock Residential Growth REIT, Inc.",BRG,REIT and Equity Trust - Residential
BRT Realty Trust,BRT,REIT and Equity Trust - Residential
Camden Property Trust,CPT,REIT and Equity Trust - Residential
"Equity Lifestyle Properties, Inc.",ELS,REIT and Equity Trust - Residential
Equity Residential,EQR,REIT and Equity Trust - Residential
"Essex Property Trust, Inc.",ESS,REIT and Equity Trust - Residential
"PhotoMedex, Inc.",GADS,REIT and Equity Trust - Residential
InterRent Real Estate Investment Trust,IIPZF,REIT and Equity Trust - Residential
Invitation Home Inc.,INVH,REIT and Equity Trust - Residential
"Independence Realty Trust, Inc.",IRT,REIT and Equity Trust - Residential
"Mid-America Apartment Communities, Inc.",MAA,REIT and Equity Trust - Residential
Maxus Realty Trust Inc.,MRTI,REIT and Equity Trust - Residential
"NexPoint Residential Trust, Inc.",NXRT,REIT and Equity Trust - Residential
Office Properties Income Trust,OPI,REIT and Equity Trust - Residential
FRONT YARD RESIDENTIAL CORP,RESI,REIT and Equity Trust - Residential
RPT Realty,RPT,REIT and Equity Trust - Residential
New Senior Investment Group Inc.,SNR,REIT and Equity Trust - Residential
"Spirit Realty Capital, Inc.",SRC,REIT and Equity Trust - Residential
"Sun Communities, Inc.",SUI,REIT and Equity Trust - Residential
United Development Funding IV,UDFI,REIT and Equity Trust - Residential
"United Dominion Realty Trust, Inc.",UDR,REIT and Equity Trust - Residential
"UMH Properties, Inc.",UMH,REIT and Equity Trust - Residential
