Company Name,Ticker,Market Cap (mil),S&P 500 - ETF,Exchange
ATA Inc.,AACG,18.24,NO,NSDQ
Atlantic American Corporation,AAME,33.37,NO,NSDQ
"Applied Optoelectronics, Inc.",AAOI,183.9,NO,NSDQ
"AAON, Inc.",AAON,2481.27,NO,NSDQ
Atlas Air Worldwide Holdings,AAWW,776.49,NO,NSDQ
"Axon Enterprise, Inc",AAXN,4297.76,NO,NSDQ
Ameris Bancorp,ABCB,1561.47,NO,NSDQ
Abeona Therapeutics Inc.,ABEO,205.71,NO,NSDQ
"ARCA biopharma, Inc.",ABIO,6.34,NO,NSDQ
"Allegiance Bancshares, Inc.",ABTX,461.63,NO,NSDQ
Arbutus Biopharma Corporation,ABUS,83.42,NO,NSDQ
ACADIA Pharmaceuticals Inc.,ACAD,7911.47,NO,NSDQ
"Atlantic Capital Bancshares, Inc.",ACBI,236.34,NO,NSDQ
"Opexa Therapeutics, Inc.",ACER,19.99,NO,NSDQ
Arch Capital Group Ltd.,ACGL,9649.49,NO,NSDQ
"Acadia Healthcare Company, Inc.",ACHC,1972.53,NO,NSDQ
"Achieve Life Sciences, Inc.",ACHV,11.91,NO,NSDQ
"Acacia Communications, Inc.",ACIA,2850.22,NO,NSDQ
AC Immune  SA,ACIU,533.74,NO,NSDQ
"ACI Worldwide, Inc.",ACIW,2803.38,NO,NSDQ
"Axcelis Technologies, Inc.",ACLS,712.13,NO,NSDQ
"ACM Research, Inc.",ACMR,594,NO,NSDQ
ACNB Corporation,ACNB,211.63,NO,NSDQ
"Acorda Therapeutics, Inc.",ACOR,49.68,NO,NSDQ
"Aclaris Therapeutics, Inc.",ACRS,44.85,NO,NSDQ
"AcelRx Pharmaceuticals, Inc.",ACRX,115.8,NO,NSDQ
"Acasti Pharma, Inc.",ACST,48.71,NO,NSDQ
Acacia Research Corporation,ACTG,130.46,NO,NSDQ
iShares MSCI ACWI ETF,ACWI,11011.74,NO,NSDQ
Adaptimmune Therapeutics PLC,ADAP,448.76,NO,NSDQ
"Advanced Emissions Solutions, Inc.",ADES,121.45,NO,NSDQ
"Adial Pharmaceuticals, Inc.",ADIL,14.78,NO,NSDQ
ADMA Biologics Inc,ADMA,264.22,NO,NSDQ
Adamis Pharmaceuticals Corporation,ADMP,28.2,NO,NSDQ
"Adamas Pharmaceuticals, Inc.",ADMS,92.72,NO,NSDQ
Adaptive Biotechnologies Corporation,ADPT,3675.85,NO,NSDQ
"Aduro Biotech, Inc.",ADRO,255.2,NO,NSDQ
"ADTRAN, Inc.",ADTN,460.19,NO,NSDQ
Addus HomeCare Corporation,ADUS,1200.53,NO,NSDQ
"Adverum Biotechnologies, Inc.",ADVM,1032.67,NO,NSDQ
Addex Therapeutics Ltd. Sponsored ADR,ADXN,40.84,NO,NSDQ
"Advaxis, Inc.",ADXS,35.35,NO,NSDQ
Aegion Corporation,AEGN,434.62,NO,NSDQ
Aehr Test Systems,AEHR,39.59,NO,NSDQ
"Advanced Energy Industries, Inc.",AEIS,1888.86,NO,NSDQ
"Aethlon Medical, Inc.",AEMD,13.39,NO,NSDQ
"Aerie Pharmaceuticals, Inc.",AERI,663.92,NO,NSDQ
Black Ridge Acquisition Corporation,AESE,50.26,NO,NSDQ
"ADDvantage Technologies Group, Inc.",AEY,25.48,NO,NSDQ
"Audioeye, Inc.",AEYE,69.24,NO,NSDQ
AEterna Zentaris Inc.,AEZS,18.54,NO,NSDQ
"Atlas Financial Holdings, Inc.",AFH,4.62,NO,NSDQ
"American Finance Trust, Inc.",AFIN,686.65,NO,NSDQ
Affimed N.V.,AFMD,170.78,NO,NSDQ
Afya Limited,AFYA,1512.51,NO,NSDQ
Agenus Inc.,AGEN,450.84,NO,NSDQ
"AgroFresh Solutions, Inc.",AGFS,93.69,NO,NSDQ
"Agios Pharmaceuticals, Inc.",AGIO,3199.06,NO,NSDQ
"Aeglea BioTherapeutics, Inc.",AGLE,164.91,NO,NSDQ
AGM Group Holdings Inc.,AGMH,366.52,NO,NSDQ
AGNC Investment Corp.,AGNC,6561.64,NO,NSDQ
"Agile Therapeutics, Inc.",AGRX,160.56,NO,NSDQ
Applied Genetic Technologies Corporation,AGTC,70.87,NO,NSDQ
"Agilysys, Inc.",AGYS,412.81,NO,NSDQ
DFB Healthcare Acquisitions Corp.,AHCO,685.3,NO,NSDQ
"Allied Healthcare Products, Inc.",AHPI,51.53,NO,NSDQ
Aesthetic Medical International Hldngs Group Ltd Sponsored ADR,AIH,203.07,NO,NSDQ
Senmiao Technology Limited,AIHS,11.25,NO,NSDQ
Spherix Incorporated,AIKI,3.62,NO,NSDQ
Altra Industrial Motion Corp.,AIMC,1259.69,NO,NSDQ
"Aimmune Therapeutics, Inc.",AIMT,1150.53,NO,NSDQ
Apollo Investment Corporation,AINV,536.36,NO,NSDQ
"Airgain, Inc.",AIRG,74.92,NO,NSDQ
"Air T, Inc.",AIRT,33.49,NO,NSDQ
"Akebia Therapeutics, Inc.",AKBA,1001.21,NO,NSDQ
"Akcea Therapeutics, Inc.",AKCA,1819.33,NO,NSDQ
Akers Biosciences Inc,AKER,11.37,NO,NSDQ
"Akero Therapeutics, Inc.",AKRO,557.86,NO,NSDQ
"Akorn, Inc.",AKRX,36.31,NO,NSDQ
"Akoustis Technologies, Inc.",AKTS,296.58,NO,NSDQ
Akari Therapeutics PLC,AKTX,26.8,NO,NSDQ
"Albireo Pharma, Inc.",ALBO,297.91,NO,NSDQ
"Alico, Inc.",ALCO,207.94,NO,NSDQ
"Aldeyra Therapeutics, Inc.",ALDX,76.53,NO,NSDQ
"Alector, Inc.",ALEC,2000.1,NO,NSDQ
Allegiant Travel Company,ALGT,1139.02,NO,NSDQ
"Alimera Sciences, Inc.",ALIM,23.4,NO,NSDQ
"ALJ Regional Holdings, Inc.",ALJJ,19.82,NO,NSDQ
Alkermes plc,ALKS,2535.64,NO,NSDQ
Allakos Inc.,ALLK,3409.23,NO,NSDQ
"Allogene Therapeutics, Inc.",ALLO,3697.25,NO,NSDQ
Allot Communications Ltd.,ALLT,385.25,NO,NSDQ
"Allena Pharmaceuticals, Inc.",ALNA,43.05,NO,NSDQ
"Alnylam Pharmaceuticals, Inc.",ALNY,16466.68,NO,NSDQ
"AstroNova, Inc.",ALOT,41.8,NO,NSDQ
"Nivalis Therapeutics, Inc.",ALPN,61.34,NO,NSDQ
"Alarm.com Holdings, Inc.",ALRM,2229.69,NO,NSDQ
"Aileron Therapeutics, Inc.",ALRN,14.82,NO,NSDQ
ALERUS FINL CP,ALRS,279.85,NO,NSDQ
"Alaska Communications Systems Group, Inc.",ALSK,104.05,NO,NSDQ
"PharmAthene, Inc",ALT,48.54,NO,NSDQ
Altus Midstream Company,ALTM,227.45,NO,NSDQ
Altair Engineering Inc.,ALTR,2187.02,NO,NSDQ
Alithya Group Inc.,ALYA,88.57,NO,NSDQ
"AMAG Pharmaceuticals, Inc.",AMAG,275.84,NO,NSDQ
Amalgamated Bank,AMAL,326.29,NO,NSDQ
"Ambarella, Inc.",AMBA,1780.58,NO,NSDQ
AMC Networks Inc.,AMCX,1177.36,NO,NSDQ
"Amedisys, Inc.",AMED,6026.56,NO,NSDQ
"Apollo Medical Holdings, Inc.",AMEH,500.32,NO,NSDQ
"Amkor Technology, Inc.",AMKR,2269.21,NO,NSDQ
"American National Bankshares, Inc.",AMNB,250.44,NO,NSDQ
"Allied Motion Technologies, Inc.",AMOT,258.22,NO,NSDQ
"Amphastar Pharmaceuticals, Inc.",AMPH,773.53,NO,NSDQ
American River Bankshares,AMRB,56.58,NO,NSDQ
"AMERI Holdings, Inc.",AMRH,3.12,NO,NSDQ
"A-Mark Precious Metals, Inc.",AMRK,99.47,NO,NSDQ
Amarin Corporation PLC,AMRN,2937.7,NO,NSDQ
"Amyris, Inc.",AMRS,439.23,NO,NSDQ
American Superconductor Corporation,AMSC,121.36,NO,NSDQ
"AMERISAFE, Inc.",AMSF,1141.59,NO,NSDQ
"American Software, Inc.",AMSWA,502.29,NO,NSDQ
