Company Name,Ticker,Market Cap (mil),S&P 500 - ETF,Exchange,F(1) Consensus Sales Est. ($mil),P/E (F1)
Atlas Air Worldwide Holdings,AAWW,776.49,NO,NSDQ,2864.69995,4.47
"Axon Enterprise, Inc",AAXN,4297.76,NO,NSDQ,607.62097,59.31
Ameris Bancorp,ABCB,1561.47,NO,NSDQ,836.34997,6.76
"Allegiance Bancshares, Inc.",ABTX,461.63,NO,NSDQ,181.1,13.85
"Atlantic Capital Bancshares, Inc.",ACBI,236.34,NO,NSDQ,90.01999,11.36
Arch Capital Group Ltd.,ACGL,9649.49,NO,NSDQ,6088.85009,9.86
"Acadia Healthcare Company, Inc.",ACHC,1972.53,NO,NSDQ,3285.30004,10.53
"Acacia Communications, Inc.",ACIA,2850.22,NO,NSDQ,527.40997,33.83
"Axcelis Technologies, Inc.",ACLS,712.13,NO,NSDQ,428.13299,24.65
"ACM Research, Inc.",ACMR,594,NO,NSDQ,137.067,40.56
"Advanced Emissions Solutions, Inc.",ADES,121.45,NO,NSDQ,76.43,2.14
Addus HomeCare Corporation,ADUS,1200.53,NO,NSDQ,746.00598,28.32
Aegion Corporation,AEGN,434.62,NO,NSDQ,1241.69995,10.56
"Advanced Energy Industries, Inc.",AEIS,1888.86,NO,NSDQ,1197.56701,19.67
"American Finance Trust, Inc.",AFIN,686.65,NO,NSDQ,296.69,6.15
Afya Limited,AFYA,1512.51,NO,NSDQ,241.58999,23.1
AGNC Investment Corp.,AGNC,6561.64,NO,NSDQ,1407.19995,5.36
DFB Healthcare Acquisitions Corp.,AHCO,685.3,NO,NSDQ,791.18701,26
Altra Industrial Motion Corp.,AIMC,1259.69,NO,NSDQ,1473.69702,13.34
Apollo Investment Corporation,AINV,536.36,NO,NSDQ,267.08999,4.66
Alkermes plc,ALKS,2535.64,NO,NSDQ,1039.70703,57.39
"Alarm.com Holdings, Inc.",ALRM,2229.69,NO,NSDQ,549.79998,31.01
ALERUS FINL CP,ALRS,279.85,NO,NSDQ,181.79499,12.33
Altair Engineering Inc.,ALTR,2187.02,NO,NSDQ,479.32501,115.96
"AMAG Pharmaceuticals, Inc.",AMAG,275.84,NO,NSDQ,248.31199,55.9
Amalgamated Bank,AMAL,326.29,NO,NSDQ,189.57699,8.65
"Ambarella, Inc.",AMBA,1780.58,NO,NSDQ,231.205,151.42
AMC Networks Inc.,AMCX,1177.36,NO,NSDQ,3023.26489,2.78
"Amedisys, Inc.",AMED,6026.56,NO,NSDQ,2132.26611,37.05
"Amkor Technology, Inc.",AMKR,2269.21,NO,NSDQ,4310.72998,14.48
"American National Bankshares, Inc.",AMNB,250.44,NO,NSDQ,92.73999,10.11
"Allied Motion Technologies, Inc.",AMOT,258.22,NO,NSDQ,381.29998,16.14
"Amphastar Pharmaceuticals, Inc.",AMPH,773.53,NO,NSDQ,345.497,33.02
American River Bankshares,AMRB,56.58,NO,NSDQ,27.45,10.86
Amarin Corporation PLC,AMRN,2937.7,NO,NSDQ,676.03002,34.75
"AMERISAFE, Inc.",AMSF,1141.59,NO,NSDQ,337.316,20.4
"American Software, Inc.",AMSWA,502.29,NO,NSDQ,114.59999,47.64
Mercantil Bank Holding Corporation,AMTB,524.29,NO,NSDQ,242.28999,22.89
TD Ameritrade Holding Corporation,AMTD,19852.56,NO,NSDQ,4936.30175,13.15
American Woodmark Corporation,AMWD,727.1,NO,NSDQ,1661.59997,6.17
"AngioDynamics, Inc.",ANGO,396.95,NO,NSDQ,268.05499,100.48
Anika Therapeutics Inc.,ANIK,473.21,NO,NSDQ,162.75,23.91
"ANI Pharmaceuticals, Inc.",ANIP,505.67,NO,NSDQ,221.89999,9.25
American Outdoor Brands Corporation,AOBC,530.86,NO,NSDQ,658.59997,15.8
Alpha and Omega Semiconductor Limited,AOSL,256.99,NO,NSDQ,449.79998,15.83
"American Public Education, Inc.",APEI,340.08,NO,NSDQ,292.17999,35.8
"AppFolio, Inc.",APPF,3582.73,NO,NSDQ,319.77499,225.57
"Digital Turbine, Inc.",APPS,476.21,NO,NSDQ,221.24,14.32
ArcBest Corporation,ARCB,474.11,NO,NSDQ,2921.635,11.52
Ares Capital Corporation,ARCC,4950.2,NO,NSDQ,1527.42797,6.84
Arco Platform Limited,ARCE,1216.9,NO,NSDQ,217.33999,41.11
"Alliance Resource Partners, L.P.",ARLP,426.1,NO,NSDQ,1417.80004,111.67
Arrow Financial Corporation,AROW,391.15,NO,NSDQ,119.59999,10.74
Artesian Resources Corporation,ARTNA,316.96,NO,NSDQ,85.79,20.3
Altisource Portfolio Solutions S.A.,ASPS,104.83,NO,NSDQ,428,30.68
"ASSERTIO THERAPEUTICS, INC",ASRT,69.07,NO,NSDQ,222.46899,1.21
"Astec Industries, Inc.",ASTE,812.77,NO,NSDQ,1059.59899,38.07
Asure Software Inc,ASUR,92.71,NO,NSDQ,72.93499,14.98
"Antares Pharma, Inc.",ATRS,481.78,NO,NSDQ,142.68499,38.8
"Air Transport Services Group, Inc",ATSG,1175.79,NO,NSDQ,1514.30004,12.69
Atlantic Union Bankshares Corporation,AUB,1712.77,NO,NSDQ,648.05499,10.85
"AeroVironment, Inc.",AVAV,1335.8,NO,NSDQ,354.99798,31.45
"Avid Technology, Inc.",AVID,296.42,NO,NSDQ,423.97,8.02
"Aviat Networks, Inc.",AVNW,50.19,NO,NSDQ,237,8.23
"Avnet, Inc.",AVT,2809.36,NO,NSDQ,17234.19726,18.07
Abraxas Petroleum Corporation,AXAS,54.75,NO,NSDQ,60,5.42
Atlantica Yield PLC,AY,2423.21,NO,NSDQ,1145.75,16.92
"Aspen Technology, Inc.",AZPN,6414.29,NO,NSDQ,572.42498,26.09
BancFirst Corporation,BANF,1167.9,NO,NSDQ,431.64999,11.75
Banner Corporation,BANR,1169.28,NO,NSDQ,537.815,10.68
"Barrett Business Services, Inc.",BBSI,311.57,NO,NSDQ,6180.78613,9.59
"BCB Bancorp, Inc. (NJ)",BCBP,163.85,NO,NSDQ,90.59999,10.75
Bay Commercial Bank,BCML,135.08,NO,NSDQ,84.52899,6.3
"Blucora, Inc.",BCOR,641.1,NO,NSDQ,808.92999,5.78
Brightcove Inc.,BCOV,348.4,NO,NSDQ,194.16499,38.87
Balchem Corporation,BCPC,2958.11,NO,NSDQ,728,35.69
