,KY,MT,ND,Portfolio,WV,WY
0,241678.9587159745,565352.9838381512,520908.729410183,389443.8078525736,144879.81375322852,474398.5535453305
1,237200.759952461,554335.4981462407,471339.8311077544,372383.6046963503,155492.0189568988,443549.9153183966
2,252249.98475096218,607816.4421502772,542464.4681672014,410255.6708993444,147139.98783525353,501607.47159302724
3,236643.69021634106,576727.4456195625,514246.3257741893,383181.733357966,154454.8037007779,433836.4014789592
4,231081.72241606956,589839.766195446,522045.0722097503,399174.0875935313,156824.08815694306,496079.7889894473
5,242652.95395562777,594235.0105053488,537513.496445999,399298.1678893382,156538.11886520952,465551.25967450574
6,235741.74199513526,583968.2869455708,493027.7198756274,390445.62994406646,154291.40799995343,485198.9929040453
7,233071.42480346494,607907.6323425252,500187.1076626594,393555.66124617576,151491.1582205892,475120.9832016401
8,225125.4638476776,531551.5462420587,463173.77021417365,377378.86204090447,154836.40154102055,512207.1283595915
9,232518.74110367135,557009.9087495652,458694.9059829454,380544.256797345,156323.83463412337,498173.89351641946
10,231496.346959731,607998.8476224963,501224.609636418,394904.1440482942,141195.19518701886,492605.72083580686
11,218130.36136858957,576238.5054589944,501026.3221643852,387911.49385367736,154587.11298441596,489575.1672920016
12,219396.30887252738,589124.8672391168,501961.8564436378,383665.867591545,148179.30430559866,459667.0010968442
13,240468.7914074486,595488.4542968576,515698.6039812477,392317.1223023649,146141.73816609927,463788.02366017125
14,227738.25185324237,610213.4323514578,528840.5291404511,399119.0903825211,155616.13632211322,473187.1022453409
15,226045.56114511957,569204.1195649038,524113.46808149625,383492.66107164114,138575.16115580435,459524.9954108818
16,231108.91874085108,642957.0657069806,533714.5151646528,403665.0315581296,135811.39232248097,474733.2658556822
17,232291.4018466325,578569.3960610881,514511.136142213,390247.76994599146,149129.58974507105,476737.32593495253
18,250268.67812067026,535177.9024060012,437031.1491343796,366041.0339717836,144843.09308142652,462884.3471164404
19,235019.28352157658,667531.8263469569,450423.2126083153,392794.739487806,144655.4586840338,466343.91627814726
20,238156.93255144788,539569.4119129262,492065.96522851626,380001.55841159134,154662.867029325,475552.6153357413
21,245824.8673408704,563919.4461524963,475554.44221677934,383484.3479645723,147269.1143911428,484853.8697215728
22,215747.24103039756,607597.1251541829,493098.23745884583,386247.1231109362,145866.8272617514,468926.18464950315
23,232643.76623047207,607353.7492218849,495822.95872234437,393443.13647128723,155736.35262917308,475658.85555256176
24,227807.47079809135,583244.5981393096,483175.35570236464,385214.47582243185,154146.67995841862,477698.2745139751
25,229125.56331952507,578801.4847554357,503448.7966764882,377498.8939815861,148391.61394089228,427727.01121558907
26,262156.95629510365,565183.4910559178,504298.98907727306,389133.0040183947,139657.4007910406,474368.18287263816
27,232257.78806385578,612917.3334399231,498949.4023324243,391098.1197045288,148415.66110149343,462950.4135849475
28,237509.70213001085,638279.1257300356,467523.1845044162,391253.07215943345,145585.43009429236,467367.9183384122
29,239861.00866122285,583824.5469913678,504426.78430021135,383921.0504843962,141471.21353179344,450021.6989373856
30,235827.0763178798,584403.9677111539,469044.22724175884,371459.5978678571,143378.76575176866,424643.95231672423
31,218529.20581774303,566064.6372506513,474405.8679035198,373977.8063786564,142999.80680008145,467889.5141212867
32,228107.10124908693,587093.3056621851,529668.2316224681,391025.6521422517,147564.61573938493,462695.0064381335
33,236558.32706089522,617296.0582108636,476485.14425044676,389258.8763008232,162610.1628985268,453344.6890833835
34,227455.22374791023,545839.044432677,505532.2673622932,382864.85943886824,147513.76060094105,487984.00105051976
35,246948.05525755932,548130.5947854032,503531.8056055005,390435.073692175,149937.4046910428,503627.508121369
36,238932.96143059267,566791.1712195243,484111.2677672424,383007.747944374,151319.63403786995,473883.7052666403
37,235579.71828250395,519259.6234015783,487350.014055083,378933.7037744733,158498.12930958066,493981.0338236205
38,244602.8174629888,614642.2405379574,498239.4085319206,388105.7439375102,149710.42602785915,433333.8271268246
39,238000.7749418052,526189.1858431932,490111.21500923793,370095.0110057108,144518.86188003983,451655.0173542779
40,227557.7790621819,614002.2776280129,513333.6148044631,392191.55686189997,154339.79598791513,451724.31682692666
41,236158.9710367926,548865.1791470568,520594.7223033001,384261.9386685974,145146.88350216165,470543.9373536754
42,239512.76121570906,586046.0828258657,539587.4764272285,395447.8771920493,151943.78587925786,460149.2796121853
43,248776.43276200647,602621.9297988701,450849.2610119958,389259.07398419874,157291.116900777,486756.6294473445
44,238869.59412816452,578931.5735566561,493055.3350212247,385532.7276787367,147830.80770907717,468976.3279785606
45,247138.2185084102,593637.2082455034,469096.10649906175,399127.79402732727,146340.28260468072,539427.1542789801
46,234204.62772477415,603081.4142666797,516637.90016431746,390035.9749968221,149602.5961843142,446653.3366440249
47,252328.66786735973,625362.033693103,476961.57951788785,393979.61170642293,148300.2146994923,466945.5627542716
48,240629.42752229932,649026.7724623099,527498.2706152924,402441.1111781714,144148.34836199094,450902.7369289643
49,224531.94212737077,597439.5373156915,484893.915382723,384692.91579960583,153846.07997848222,462753.1041937618
50,248181.51442419027,582838.2708449851,471086.1752713231,376215.0254075066,149464.51554883755,429504.650948197
51,236321.39610729122,589143.3574060784,476114.162457214,384657.64146372565,158801.3634932783,462907.9278547663
52,230742.7135768789,547897.4553682634,456822.01461393276,365665.1979658372,140639.03910140117,452224.76716870995
53,234249.02548790094,556995.7339228608,478143.6540240529,375687.47065632546,150250.19517030858,458798.7446765041
54,230643.73774912,610877.7496446475,489439.10874705046,386968.97353482386,150953.5747556806,452930.6967776206
55,239402.19424473148,560813.0708603902,510748.35312927875,390487.53389978444,155260.27326590993,486213.77799861156
56,226034.96694423078,572913.6928686458,475005.688819859,376182.3279893034,142416.8404099098,464540.4509038715
57,221504.5416970779,598332.8484287043,526833.5064321423,386654.11544171546,143741.98891400005,442857.6917366527
58,234689.03748727316,574822.6639849069,475782.9543256914,384332.68990542914,148182.02753665266,488186.76619262184
59,246189.72202066178,586291.9756143806,497776.64837139193,397538.7203854928,154630.86599129965,502804.38992972975
60,246258.55618849996,611809.3547646226,492427.3616865822,391254.1241131597,143756.2431543606,462019.104771733
61,224089.17522310198,583435.7974278519,479891.6416031325,387856.79933427746,159958.63114110066,491908.75127620006
62,252420.90797432742,592089.9080015366,509603.6374144699,397595.2345423937,158010.06311744358,475851.6562041911
63,233271.08876751445,593774.5510895924,471496.68783289334,387211.85944283276,154515.7568740724,483001.2126500912
64,232861.66804116374,597160.8245063366,484060.96752622485,379128.78890275635,149745.0451850327,431815.43925502367
65,227705.20211428936,623125.5348556525,498919.69063193636,388331.7658220059,150440.86057998738,441467.5409281641
66,221140.42300619723,541396.5600156976,506494.10794555704,379743.1923251497,152471.9928023634,477212.8778559333
67,230543.7278561406,520795.23126581276,539777.8768038483,383347.74535264954,151982.35435864105,473639.5364788049
68,243719.50801398847,559821.3338615706,522082.00440752873,393820.53538664797,152222.35605610587,491257.4745940461
69,218932.54608148502,557286.9937932098,499559.1890429609,372927.11836627655,143576.7255846135,445280.1373291135
70,232336.37647866318,578171.9141942858,546071.6004993764,392809.98381465423,146505.68143194183,460964.3464690038
71,239187.10661357568,601260.3756991869,516744.2025461828,393469.7614444671,151952.48561054442,458204.6367528458
72,249427.57462271076,553946.1266954247,475238.7748092927,377754.2981245759,152951.4161151294,457207.5983803215
