Company Name,Ticker,Market Cap (mil),P/E (F1),S&P 500 - ETF,F(1) Consensus Sales Est. ($mil)
"Advanced Emissions Solutions, Inc.","ADES","131.14","2.31","NO","76.43"
"Ashford Hospitality Trust Inc","AHT","74.71","2.05","NO","1240.62597"
"Ashford Inc.","AINC","17.16","2.78","NO","319.315"
"Air Industries Group","AIRI","35.72","23.4","NO","62"
"Great Ajax Corp.","AJX","165.18","5.37","NO","45.79999"
"American River Bankshares","AMRB","58.72","11.27","NO","27.45"
"Ampco-Pittsburgh Corporation","AP","54.69","11.37","NO","401.89999"
"Avino Silver","ASM","32.21","11.91","NO","39.9"
"Altisource Portfolio Solutions S.A.","ASPS","107.47","31.45","NO","428"
"ASSERTIO THERAPEUTICS, INC","ASRT","75.32","1.32","NO","222.46899"
"Asure Software Inc","ASUR","91.77","14.82","NO","72.93499"
"Atento S.A.","ATTO","74.66","2.83","NO","1589.69995"
"Aviat Networks, Inc.","AVNW","51.22","8.4","NO","237"
"Abraxas Petroleum Corporation","AXAS","41.93","4.15","NO","60"
"AXT Inc","AXTI","191.48","169.52","NO","92.24299"
"Bay Banks of Virginia Inc.","BAYK","69.4","7.43","NO","42.68"
"Build-A-Bear Workshop, Inc.","BBW","36.91","22.09","NO","341.70001"
"BBX Capital Corp.","BBX","179.62","186","NO","830.85998"
"BCB Bancorp, Inc. (NJ)","BCBP","175.37","11.51","NO","88.4"
"Bay Commercial Bank","BCML","139.4","6.5","NO","84.52899"
"BankFinancial Corporation","BFIN","128.61","12.86","NO","54.7"
"Business First Bancshares, Inc.","BFST","177.91","7.42","NO","129.03599"
"BG Staffing Inc","BGSF","103.34","11.09","NO","315.1"
"BRAEMAR HOTELS & RESORTS INC.","BHR","84.13","2.61","NO","413.72399"
"Bioceres Crop Solutions Corp.","BIOX","178.79","19.8","NO","173.55"
"Bank of Commerce Holdings (CA)","BOCH","134.15","11.79","NO","60"
"The Bank of Princeton","BPRN","135.88","12.36","NO","47.89799"
"Bluerock Residential Growth REIT, Inc.","BRG","140.17","6.81","NO","232.199"
"BRP Group, Inc.","BRP","191.65","41.51","NO","211.10299"
"BRT Realty Trust","BRT","153.91","10.33","NO","140.89999"
"Bank7 Corp.","BSVN","71.15","6.28","NO","40.09999"
"Broadwind Energy, Inc.","BWEN","23.13","8.18","NO","207.5"
"Bankwell Financial Group, Inc.","BWFG","122.71","10.75","NO","60.84999"
"Beazer Homes USA, Inc.","BZH","197.41","9.68","NO","1894.40002"
"China Automotive Systems, Inc.","CAAS","55.27","17.6","NO","417.54998"
"CB Financial Services, Inc.","CBFV","103.56","13.15","NO","52.2"
"CBL & Associates Properties, Inc.","CBL","68.88",".34","NO","691.29699"
"Capital Bancorp, Inc.","CBNK","147.2","9.26","NO","102.09999"
"Coastal Financial Corporation","CCB","160.2","20.66","NO","54.59999"
"CONSOL Coal Resources LP","CCR","137.88","32.19","NO","275.79998"
"Cedar Realty Trust, Inc.","CDR","79.43","1.85","NO","145.35699"
"CECO Environmental Corp.","CECE","176.34","8.81","NO","358.57998"
"Consol Energy Inc.","CEIX","129.63","1.87","NO","1117.69995"
"Cypress Energy Partners, L.P.","CELP","65.76","9.15","NO","350.79998"
"Chaparral Energy, Inc.","CHAP","13.15","1.68","NO","230.66"
"Chemung Financial Corp","CHMG","139.78","10.52","NO","77.26699"
"Cherry Hill Mortgage Investment Corporation","CHMI","110.29","3.82","NO","17.40699"
